x,y
0.01,1800.02
0.03,599.8599
0.05,359.956
0.07,257.1727
0.09,200.0911
0.1101,163.782
0.1301,138.6577
0.1501,120.2441
0.1701,106.1727
0.1901,95.0721
0.2101,86.0936
0.2301,78.6836
0.2501,72.4657
0.2701,67.1748
0.2901,62.6193
0.3102,58.6567
0.3302,55.1793
0.3502,52.1039
0.3702,49.3653
0.3902,46.9117
0.4102,44.7014
0.4302,42.7004
0.4502,40.8809
0.4702,39.2196
0.4902,37.6972
0.5103,36.2973
0.5303,35.0061
0.5503,33.8117
0.5703,32.704
0.5903,31.6741
0.6103,30.7143
0.6303,29.818
0.6503,28.9793
0.6703,28.1931
0.6903,27.4548
0.7104,26.7603
0.7304,26.1061
0.7504,25.4889
0.7704,24.9058
0.7904,24.3543
0.8104,23.832
0.8304,23.3368
0.8504,22.8668
0.8704,22.4203
0.8904,21.9956
0.9105,21.5913
0.9305,21.2062
0.9505,20.8389
0.9705,20.4885
0.9905,20.1538
1.0105,19.834
1.0305,19.5281
1.0505,19.2354
1.0705,18.9552
1.0905,18.6867
1.1106,18.4293
1.1306,18.1824
1.1506,17.9456
1.1706,17.7181
1.1906,17.4997
1.2106,17.2899
1.2306,17.0881
1.2506,16.8941
1.2706,16.7075
1.2906,16.5278
1.3107,16.3549
1.3307,16.1884
1.3507,16.0281
1.3707,15.8735
1.3907,15.7246
1.4107,15.581
1.4307,15.4426
1.4507,15.3091
1.4707,15.1803
1.4907,15.056
1.5108,14.9361
1.5308,14.8204
1.5508,14.7087
1.5708,14.6008
1.5908,14.4967
1.6108,14.3962
1.6308,14.2991
1.6508,14.2053
1.6708,14.1147
1.6908,14.0273
1.7109,13.9428
1.7309,13.8612
1.7509,13.7823
1.7709,13.7062
1.7909,13.6326
1.8109,13.5616
1.8309,13.493
1.8509,13.4267
1.8709,13.3627
1.8909,13.301
1.911,13.2413
1.931,13.1837
1.951,13.1281
1.971,13.0745
1.991,13.0227
2.011,12.9728
2.031,12.9246
2.051,12.8782
2.071,12.8334
2.091,12.7902
2.1111,12.7487
2.1311,12.7086
2.1511,12.6701
2.1711,12.633
2.1911,12.5973
2.2111,12.5629
2.2311,12.53
2.2511,12.4983
2.2711,12.4678
2.2911,12.4386
2.3112,12.4106
2.3312,12.3838
2.3512,12.3581
2.3712,12.3335
2.3912,12.31
2.4112,12.2876
2.4312,12.2661
2.4512,12.2457
2.4712,12.2263
2.4912,12.2078
2.5113,12.1902
2.5313,12.1736
2.5513,12.1578
2.5713,12.143
2.5913,12.1289
2.6113,12.1157
2.6313,12.1033
2.6513,12.0917
2.6713,12.0809
2.6913,12.0708
2.7114,12.0615
2.7314,12.0528
2.7514,12.0449
2.7714,12.0377
2.7914,12.0312
2.8114,12.0253
2.8314,12.0201
2.8514,12.0155
2.8714,12.0115
2.8914,12.0082
2.9115,12.0054
2.9315,12.0032
2.9515,12.0016
2.9715,12.0005
2.9915,12.0
3.0115,12.0001
3.0315,12.0007
3.0515,12.0017
3.0715,12.0033
3.0915,12.0054
3.1116,12.008
3.1316,12.0111
3.1516,12.0146
3.1716,12.0186
3.1916,12.023
3.2116,12.0279
3.2316,12.0332
3.2516,12.0389
3.2716,12.0451
3.2916,12.0517
3.3117,12.0587
3.3317,12.066
3.3517,12.0738
3.3717,12.0819
3.3917,12.0905
3.4117,12.0994
3.4317,12.1086
3.4517,12.1182
3.4717,12.1282
3.4917,12.1385
3.5118,12.1492
3.5318,12.1601
3.5518,12.1714
3.5718,12.1831
3.5918,12.195
3.6118,12.2073
3.6318,12.2198
3.6518,12.2327
3.6718,12.2458
3.6918,12.2593
3.7119,12.273
3.7319,12.2871
3.7519,12.3013
3.7719,12.3159
3.7919,12.3308
3.8119,12.3459
3.8319,12.3612
3.8519,12.3768
3.8719,12.3927
3.8919,12.4088
3.912,12.4252
3.932,12.4418
3.952,12.4586
3.972,12.4757
3.992,12.493
4.012,12.5105
4.032,12.5283
4.052,12.5463
4.072,12.5645
4.092,12.5829
4.1121,12.6015
4.1321,12.6203
4.1521,12.6393
4.1721,12.6586
4.1921,12.678
4.2121,12.6976
4.2321,12.7174
4.2521,12.7374
4.2721,12.7576
4.2921,12.778
4.3122,12.7986
4.3322,12.8193
4.3522,12.8402
4.3722,12.8613
4.3922,12.8826
4.4122,12.904
4.4322,12.9256
4.4522,12.9474
4.4722,12.9693
4.4922,12.9914
4.5123,13.0136
4.5323,13.0361
4.5523,13.0586
4.5723,13.0813
4.5923,13.1042
4.6123,13.1272
4.6323,13.1504
4.6523,13.1737
4.6723,13.1971
4.6923,13.2207
4.7124,13.2445
4.7324,13.2683
4.7524,13.2923
4.7724,13.3165
4.7924,13.3407
4.8124,13.3651
4.8324,13.3897
4.8524,13.4143
4.8724,13.4391
4.8924,13.464
4.9125,13.4891
4.9325,13.5142
4.9525,13.5395
4.9725,13.5649
4.9925,13.5904
5.0125,13.616
5.0325,13.6418
5.0525,13.6676
5.0725,13.6936
5.0925,13.7197
5.1126,13.7459
5.1326,13.7721
5.1526,13.7985
5.1726,13.8251
5.1926,13.8517
5.2126,13.8784
5.2326,13.9052
5.2526,13.9321
5.2726,13.9591
5.2926,13.9862
5.3127,14.0134
5.3327,14.0407
5.3527,14.0682
5.3727,14.0956
5.3927,14.1232
5.4127,14.1509
5.4327,14.1787
5.4527,14.2065
5.4727,14.2345
5.4927,14.2625
5.5128,14.2907
5.5328,14.3189
5.5528,14.3472
5.5728,14.3755
5.5928,14.404
5.6128,14.4326
5.6328,14.4612
5.6528,14.4899
5.6728,14.5187
5.6928,14.5476
5.7129,14.5765
5.7329,14.6055
5.7529,14.6346
5.7729,14.6638
5.7929,14.693
5.8129,14.7224
5.8329,14.7518
5.8529,14.7812
5.8729,14.8108
5.8929,14.8404
5.913,14.8701
5.933,14.8998
5.953,14.9296
5.973,14.9595
5.993,14.9895
6.013,15.0195
6.033,15.0496
6.053,15.0798
6.073,15.11
6.093,15.1403
6.1131,15.1706
6.1331,15.201
6.1531,15.2315
6.1731,15.2621
6.1931,15.2926
6.2131,15.3233
6.2331,15.354
6.2531,15.3848
6.2731,15.4156
6.2931,15.4465
6.3132,15.4775
6.3332,15.5085
6.3532,15.5396
6.3732,15.5707
6.3932,15.6019
6.4132,15.6331
6.4332,15.6644
6.4532,15.6958
6.4732,15.7271
6.4932,15.7586
6.5133,15.7901
6.5333,15.8217
6.5533,15.8533
6.5733,15.8849
6.5933,15.9166
6.6133,15.9484
6.6333,15.9802
6.6533,16.0121
6.6733,16.044
6.6933,16.0759
6.7134,16.1079
6.7334,16.14
6.7534,16.1721
6.7734,16.2042
6.7934,16.2364
6.8134,16.2687
6.8334,16.3009
6.8534,16.3333
6.8734,16.3656
6.8934,16.3981
6.9135,16.4305
6.9335,16.463
6.9535,16.4956
6.9735,16.5282
6.9935,16.5608
7.0135,16.5935
7.0335,16.6262
7.0535,16.659
7.0735,16.6918
7.0935,16.7246
7.1136,16.7575
7.1336,16.7904
7.1536,16.8234
7.1736,16.8564
7.1936,16.8894
7.2136,16.9225
7.2336,16.9556
7.2536,16.9888
7.2736,17.022
7.2936,17.0552
7.3137,17.0885
7.3337,17.1218
7.3537,17.1551
7.3737,17.1885
7.3937,17.2219
7.4137,17.2553
7.4337,17.2888
7.4537,17.3223
7.4737,17.3559
7.4937,17.3895
7.5138,17.4231
7.5338,17.4568
7.5538,17.4905
7.5738,17.5242
7.5938,17.5579
7.6138,17.5917
7.6338,17.6256
7.6538,17.6594
7.6738,17.6933
7.6938,17.7272
7.7139,17.7612
7.7339,17.7952
7.7539,17.8292
7.7739,17.8632
7.7939,17.8973
7.8139,17.9314
7.8339,17.9655
7.8539,17.9997
7.8739,18.0339
7.8939,18.0681
7.914,18.1024
7.934,18.1367
7.954,18.171
7.974,18.2053
7.994,18.2397
8.014,18.2741
8.034,18.3085
8.054,18.343
8.074,18.3774
8.094,18.4119
8.1141,18.4465
8.1341,18.481
8.1541,18.5156
8.1741,18.5502
8.1941,18.5849
8.2141,18.6196
8.2341,18.6543
8.2541,18.689
8.2741,18.7237
8.2941,18.7585
8.3142,18.7933
8.3342,18.8281
8.3542,18.863
8.3742,18.8978
8.3942,18.9327
8.4142,18.9676
8.4342,19.0026
8.4542,19.0376
8.4742,19.0726
8.4942,19.1076
8.5143,19.1426
8.5343,19.1777
8.5543,19.2128
8.5743,19.2479
8.5943,19.283
8.6143,19.3182
8.6343,19.3533
8.6543,19.3885
8.6743,19.4238
8.6943,19.459
8.7144,19.4943
8.7344,19.5296
8.7544,19.5649
8.7744,19.6002
8.7944,19.6355
8.8144,19.6709
8.8344,19.7063
8.8544,19.7417
8.8744,19.7772
